RowNumber,InputTextID,PerturbationID,OriginalLabel,PerturbedLabel,IsEquivalent
148,fsa8,Identifying Individual,negative,mixed,False
149,fsa8,Identifying Individual,negative,mixed,False
150,fsa8,Identifying Individual,negative,mixed,False
152,fsa8,Identifying Individual,negative,positive,False
153,fsa8,Identifying Individual,negative,mixed,False
154,fsa8,Identifying Individual,negative,mixed,False
160,fsa8,Identifying Individual,negative,positive,False
162,fsa8,Identifying Individual,negative,positive,False
369,fsa18,Identifying Individual,negative,neutral,False
443,fsa22,Identifying Individual,negative,neutral,False
464,fsa23,Identifying Individual,negative,positive,False
474,fsa23,Identifying Individual,negative,neutral,False
513,fsa25,Identifying Individual,negative,neutral,False
612,fsa30,Identifying Individual,negative,neutral,False
614,fsa30,Identifying Individual,negative,neutral,False
615,fsa30,Identifying Individual,negative,neutral,False
617,fsa30,Identifying Individual,negative,neutral,False
618,fsa30,Identifying Individual,negative,neutral,False
619,fsa30,Identifying Individual,negative,neutral,False
620,fsa30,Identifying Individual,negative,neutral,False
621,fsa30,Identifying Individual,negative,neutral,False
622,fsa30,Identifying Individual,negative,neutral,False
623,fsa30,Identifying Individual,negative,neutral,False
624,fsa30,Identifying Individual,negative,neutral,False
625,fsa30,Identifying Individual,negative,neutral,False
626,fsa30,Identifying Individual,negative,neutral,False
629,fsa30,Identifying Individual,negative,neutral,False
631,fsa31,Identifying Individual,neutral,negative,False
632,fsa31,Identifying Individual,neutral,negative,False
633,fsa31,Identifying Individual,neutral,positive,False
634,fsa31,Identifying Individual,neutral,negative,False
635,fsa31,Identifying Individual,neutral,positive,False
637,fsa31,Identifying Individual,neutral,negative,False
638,fsa31,Identifying Individual,neutral,negative,False
639,fsa31,Identifying Individual,neutral,positive,False
640,fsa31,Identifying Individual,neutral,positive,False
642,fsa31,Identifying Individual,neutral,negative,False
643,fsa31,Identifying Individual,neutral,positive,False
647,fsa31,Identifying Individual,neutral,positive,False
695,fsa34,Identifying Individual,positive,neutral,False
702,fsa34,Identifying Individual,positive,neutral,False
705,fsa34,Identifying Individual,positive,neutral,False
718,fsa35,Identifying Individual,positive,negative,False
800,fsa39,Identifying Individual,positive,negative,False
863,fsa42,Identifying Individual,negative,neutral,False
864,fsa42,Identifying Individual,negative,neutral,False
865,fsa42,Identifying Individual,negative,neutral,False
868,fsa42,Identifying Individual,negative,positive,False
869,fsa42,Identifying Individual,negative,neutral,False
870,fsa42,Identifying Individual,negative,neutral,False
873,fsa42,Identifying Individual,negative,neutral,False
894,fsa43,Identifying Individual,negative,neutral,False
